101,Vancouver,B,45000,65000,5000,3,1,2024-04-01,2024-04-20,70000,55.56,19,Completed
101,Vancouver,B,45000,65000,5000,3,1,2024-04-01,2024-04-20,70000,55.56,19,Completed
102,Burnaby,B,46000,63000,4800,3,1,2024-04-05,2024-04-25,67800,47.39,20,Completed
102,Burnaby,B,46000,63000,4800,3,1,2024-04-05,2024-04-25,67800,47.39,20,Completed
103,Richmond,B,45500,64000,5100,3,1,2024-04-10,2024-04-30,69100,51.87,20,Completed
103,Richmond,B,45500,64000,5100,3,1,2024-04-10,2024-04-30,69100,51.87,20,Completed
104,Surrey,B,47000,62000,5200,3,1,2024-05-01,2024-05-21,67200,42.98,20,Completed
104,Surrey,B,47000,62000,5200,3,1,2024-05-01,2024-05-21,67200,42.98,20,Completed
105,Langley,B,44000,66000,4700,3,1,2024-05-10,2024-05-30,70700,60.68,20,Completed
105,Langley,B,44000,66000,4700,3,1,2024-05-10,2024-05-30,70700,60.68,20,Completed
106,Kelowna,B,45500,64500,4900,3,1,2024-05-15,2024-06-05,69400,52.53,21,In Progress
106,Kelowna,B,45500,64500,4900,3,1,2024-05-15,2024-06-05,69400,52.53,21,In Progress
107,Victoria,B,46000,63500,5000,3,1,2024-05-20,2024-06-10,68500,48.91,21,In Progress
107,Victoria,B,46000,63500,5000,3,1,2024-05-20,2024-06-10,68500,48.91,21,In Progress
108,Nanaimo,B,45000,62500,4800,3,1,2024-06-01,2024-06-20,67300,49.56,19,In Progress
108,Nanaimo,B,45000,62500,4800,3,1,2024-06-01,2024-06-20,67300,49.56,19,In Progress
109,Kamloops,B,45500,65000,5100,3,1,2024-06-05,2024-06-25,70100,54.07,20,Not Started
109,Kamloops,B,45500,65000,5100,3,1,2024-06-05,2024-06-25,70100,54.07,20,Not Started
110,Prince George,B,44500,66000,4700,3,1,2024-06-10,2024-06-30,70700,58.88,20,Not Started
110,Prince George,B,44500,66000,4700,3,1,2024-06-10,2024-06-30,70700,58.88,20,Not Started
111,Coquitlam,B,46000,64000,4900,3,1,2024-06-15,2024-07-05,68900,49.78,20,Not Started
111,Coquitlam,B,46000,64000,4900,3,1,2024-06-15,2024-07-05,68900,49.78,20,Not Started
112,Abbotsford,B,45000,63000,5000,3,1,2024-06-20,2024-07-10,68000,51.11,20,Not Started
112,Abbotsford,B,45000,63000,5000,3,1,2024-06-20,2024-07-10,68000,51.11,20,Not Started
113,Chilliwack,B,45500,62000,5100,3,1,2024-06-25,2024-07-15,67100,47.47,20,Not Started
113,Chilliwack,B,45500,62000,5100,3,1,2024-06-25,2024-07-15,67100,47.47,20,Not Started
114,Penticton,B,44000,67000,4800,3,1,2024-07-01,2024-07-20,71800,63.18,19,Not Started
114,Penticton,B,44000,67000,4800,3,1,2024-07-01,2024-07-20,71800,63.18,19,Not Started
115,Mission,B,45000,65000,5000,3,1,2024-07-05,2024-07-25,70000,55.56,20,Not Started
115,Mission,B,45000,65000,5000,3,1,2024-07-05,2024-07-25,70000,55.56,20,Not Started
